Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
0.55,0.42,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,grace
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,ribet
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,tree
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,rumors
0.55,0.0,0.74,NEGATIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,follow rt
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,core
0.55,0.53,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,wisdom
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,handgel
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,verification
0.55,0.42,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,hopes
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,force
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,sms dm
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,tiket
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,hairclip
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,feedback
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,plenty
0.55,0.54,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,glory
0.55,0.51,0.74,POSITIVE,NOUN,ADJ,ADJ,2.0,0.97,0.89,confident,pleasant
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,kinds
0.55,0.0,0.74,POSITIVE,VERB,VERB,ADJ,0.0,0.6,0.89,confident,addicted
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,harga
0.55,0.0,0.74,NEGATIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,compare
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,jualfont
0.55,-0.56,0.74,NEGATIVE,ADV,ADV,ADV,0.0,1.0,0.89,confident,terribly
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,fightlikechampions
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,line
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,pm
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,trainer
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,VERB,2.0,0.0,0.89,confident,thankyou
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,sepatu
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,trade
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.89,confident,annual
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,rick
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,companies
0.55,0.42,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,charity
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,chase
0.55,0.44,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,valued
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,replace
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,2.0,0.0,0.89,confident,highest
0.55,-0.44,0.74,NEGATIVE,NOUN,PROPN,VERB,0.0,0.0,0.89,confident,fool
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,VERB,1.0,0.0,0.89,confident,happens
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,SYM,1.0,0.0,0.89,confident,whstupp
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,resolution
0.55,-0.53,0.74,NEGATIVE,NOUN,PROPN,VERB,0.0,0.0,0.89,confident,hurt
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,decisions
0.55,0.64,0.74,POSITIVE,NOUN,NOUN,VERB,2.0,0.6,0.89,confident,love
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,minat
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,tema
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,gaga
0.55,0.48,0.74,POSITIVE,VERB,VERB,VERB,2.0,0.0,0.89,confident,trusted
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,utk
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,ADJ,1.0,0.0,0.89,confident,hairchalk
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,dust
0.55,-0.44,0.74,NEGATIVE,ADJ,ADJ,ADJ,0.0,0.62,0.89,confident,weak
0.55,0.48,0.74,POSITIVE,NOUN,PROPN,NOUN,2.0,0.0,0.89,confident,compliment
0.55,0.0,0.74,NEGATIVE,NOUN,DET,PRON,1.0,0.0,0.89,confident,whatever
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,supply
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,deserve
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,1.0,0.89,confident,base
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,PROPN,1.0,0.0,0.89,confident,dgn
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,influence
0.55,0.0,0.74,POSITIVE,NOUN,INTJ,PROPN,1.0,0.0,0.89,confident,ig
0.55,0.61,0.74,POSITIVE,ADJ,ADJ,ADJ,2.0,0.9,0.89,confident,gorgeous
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,flow
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,relancer
